time pressure,low number of employees,mostly in bigger cities,how to have time to stay updated,bigger staff,more time for education,become better
Workload,Training,Workload,Training,Reduce the workload,Training opportunity,Became a prominent embryologist
bad quality oocyte,how to select the best sperm,good salary,stay academically update,chance to improve knowledge,good salary,help people with this profession
Work long hours,No viable sperm for ICSI,?,?,"Award, recognition",Incentives,PhD
Lack of time off,"Overworked, underpayed",Lack of respect for what we do,Expensive training,More staff,More time off,To retire and find a monday to friday job. I am done with this fiel and the lack of respect we received.
Stress,High work pressure,High workflow,We are not valued high enough,Higher salary,legislations,To finish my PhD in 4 years and continue my research career.
Stress,Workload,Moral stress,Workload,Staffing,Support,Maybe to enroll back to university and get a master on the subject to advance in career
Acknowledgment-Respect,Appropriate payment,Recognition,Appreciation,Collaboration,Universal status in the medical community,To be acknowledged and appreciated for my career and obtain a PHD on a  global subject
Lack of EBM,Lack of national/internation consensus of treatments,Don't know,-,More guidelines by national/international society,-,-
working under pressure,multi-tasking,idk,idk,idk,idk,none
ergonomics,workload,proper education,competetive salarys,variability on the different workstations,well-dimensioned staffnumber,"scientific development, associate professor level"
Constant need to be excellent,High workload,Salary could be higher,Status in Hospital hierarchy unclear,Higher salary,Higher status,"Retirement in three years ;-)  Possibly co-operation, teaching, training with the clinics in developing world."
Lack of Professional recognition,Inadequate importance given to their work,Expensive courses to get certified,Lack of awareness among students,Work need to be recognised and prioritised,-,Chief embryologist
Wooden material in the lab,Absence of AHU unit,More working hours,Lack of clinician and embryologists coordination.,More training exposure for new techniques,Freedom to take decisions regarding embryology,To aquire more and more advance technology in this field and improve the results
No academic progress in my country,Difficult cases,Too many technician embryologist available in India but they are not academically sound,Juniors are only focusing on the technique and not ready to take up academic updates,Courses for updating knowledge of embryologist and andrology technicians working in jobs,Mandatory education qualification for practice,"To be able to provide improved results in IVF , learn new procedures and stay updated in the field "
Doctors,Nurses,Work life balance,Finding senior embryologists,Prioritizing the lab in budgeting,Recognition,To become a director
Working days are very busy,One needs to be very caeful and precise,Training to become embryologist takes a lot of time and resorces,It is hard to find a job unless you are fully trained embryologist,enough staff per staff,rotation of the task everyone does,To get athe eshre certificate and later to become a lab manager
Recognition,Ownership,Partnership,Financial muscles to own ivf lab,Move from salary to percentage /commission,Play active part in the running of the art centre,Own my art lab.
Workload versus number of staff,To always keep in mind that patients are actual people!,Power struggle with clinical staff,Loss of feeling with the work floor,Less quality control,Less certification obligations,To become a leading embryologist in patient centered care
..,..,..,..,..,..,..
Not enough staff,Paperwork,Liability,Not allowed to go to National Meetings online help with WC,Online help with QC/QA,Clinic Mergers to increase staffing,Research/Teaching
unpredictable work load,not enough time for studying scientific publications,N/A,N/A,N/A,N/A,to gain more skills and knowledge on different levels in IVF
hurry,unexpected overwork,unexpected overwork,difficult patients,better planning,enough workforce,"ESHRE certification, participate in research"
recognition of the  gynaecologists/MDs,Workload in the weekends,recognition of the  gynaecologists/MDs,Workload in the weekends,"more staff, especially during the weekends",more/better education and training,To optimise the working (practically and scientifically) of the laboratory.
workload,motivation,time/family,motivation,less weekends,feed back,director
Work stress,Underpaid,Training,Too much influence clinican influences,Set limits of cycles per embryologists,Give embryologists rights to decide over embryology,"Safety and quality for patients, a good team spirit among colleagues"
Blame game,Implementation of new proven technique,"Work and social life balance, better pay",Upskilling hurdles and Hands on,"Better pay, to provide adequate staff replacement during absense",Constant training and upskilling,To start my own fertility clinic with full transparency
everybody working according to the SOPs,patient and or team communication,not to make any mistakes,to keep results constant,honestly do,not know,not applicable at this period
Nothing,Nothing,Computational,Nothing,Nothing,Nothing,Become a good and qualified Embryologist
Trustlessness by peers,Peers not adapting to new techniques,Grading an Embryologist by non embryologist work,Trustlessness,Being Trustworthy,Peers Updating themselves with current knowledge and research,To become excellent ethical Embryologist and to become top in the field achieving smiles in patients' lives to awards for services provided.
"time management, combination practical office work due to quality system and regulations","too many regulations such as MDR, European guidelines",365 days a year responsibility,errors can be major. This gives a constant work pressure,less work stress/ less work pressure,same appreciation als gynecologists,making the laboratory results better
Communication with leading doctor about how to treat patients,"Not able to develop the lab because of the leading doctor: new methods are not allowed, cleavage stage culturing is the main culturing stage",Profession is not commonly known in our country,Or even in our hospital,"More co-operation with clinical doctor, at least in our clinic","National guidelines about how to treat the patients (culturing of embryos, IVF or ICSI)",?
Workload,Scheaduel,Same,Same,More structured,More pers,A
The IVF laboratory work is highly demanding and often stressful.,The changes in clinical embryology practice have created a significant challenge for both the profession and the embryologist.,Nothing,Stress,Embryologists are involved with the study of human and animal development embryo cells.,"Embryologists are responsible for conducting research, providing insight, and making discoveries in order to treat fertility and reproductive issues.",Stress less
Pregnancy rate,Quality blast formation,Pressure,Leave,Coordination between Doctor and Embryologist,Leaves,Best ethical embryologist
creating the best results without having enough time,low appreciation,low number of jobs,minimizing the number of embryologists in the lab,showing doctors the work in the lab,increasing the number of staff in every lab,professor
Cost Effective technique for ART,Incomplete knowledge of Gyneacologist,Unethical practice by non- degree holder,Less appreciation than Gyneacologist,Mandatory Degree holder or licenses holder to practice,Case discussion before any stimulation for better outcome just like Aneasthetist Fitness Certificate  before any surgery.,Stem Cell Line culture to improve infertility
Not enough Exposure (For Juniors),No proper hands on training (For Juniors),Lack of Professional Recognition,Clinician Dominated Profession,Government Based Training Institutes,Giving the due recognition to the profession.,Get into academia for teaching Clinical Embryology
Lack of facility for research,Support by doctor,Proper training,Proper knowledge,Research facilities,Proper support,To be a certified Embryologist and do a PhD
Verification of identity.,Workload management in office hours.,Unavailability of relevant advance courses.,Low income.,More vocational education,More salary,Unit Lab director
Bad stimulation,Overall troubleshooting,Successful pregnancy,Uncooperative doctors,Good equipment,Updated knowledge,To become a researcher of this field
Time management,Aseptic condition maintainance,Alertness,Stick to the timing of procedures,TRUST BY CLINICIANS,SALARY PACKAGES FROM JUNIOR TO SENIOR,BECOME A SUCCESSFUL HEALTH CARE SCIENTIST
overworking,dealing with a lot of things that are not related to embryology (admin/ IT problems etc),not recognized,job description in the hospital is not clear,clear job description,hire more embryologists,..
management of the team,funding for research,desition conducted by evidence based data,quality and safety of procedings,time for education,participation on clinical policy,"Next to head of the lab, university professor"
Working error-free under time-pressure,"strive for improvement and innovation, despite day-to-day worload",Evidence based vs industry driven methods,Understaffing and high workload,Increased recognition for the profession by patients and MDs,Guidelines for required number of staff members,Become a professor
Physical strain,Mental stress,Low salary,No place for promotion and climbing the laddar,Good equipment,Recognition,Lab manager
organization (lack of funding),Quality control and error management,Improving Time to pregnancy and cumulative pr. rate.,Improving treatment options for specific patient groups,Enough time for implementing improvements,higher financial reward,clinical embryologist
"High stress level, long hours",Work life balance,>40 hours worked per week no breaks,Weekends and holiday work,Batch to avoid weekend casess,Guaranteed mental health days off,Partnership in the lab/practice
Up-to-date instruments,Research,Job availability,Pay scale is very less,Specific body to run ivf,Sop for embryologist,Research in ART
Partial disagreement with patient treatment plan,Weekend work,Not being recognized by patients for what we do,Not being able to open up an independent practice,Have a 50-50 role in decision making,Be able to register and own your own clinic,I don't have one at this stage. Too despondent about embryology as a career at this stage.
weekend work,excessive administrative duties,not enough credit to whole team only doctors,ethical concerns,batch patients,introduce patients to whole team,do my work to the best of my ability
multitasking,short time to finishing working process,relationship with clinicians,dignity of profession,no more than 2 weekends per month,equipment,To improve my knowledge and to help patients to achieved their goal
Clinician dominating work,Salary,License/certification,Poor academic support from employer,Let the embryologist to take lab oriented decision,Strict academic qualification to work as an embryologist.,"To be a certified, qualified and quality embryologist"
To give the positive results to patients,To maintain the best QC,"In Starting of career , don’t get chance to learn proper work",Don’t know but I think may be faced little bit politics behaviour of seniors,Give your best performance to the every childless couple,Maintain healthy relationship with team,To perform more and more good work for patients with advanced technology
Quality  management of ivf lab,Timely assessment of work over results,TAT,Regular Clinically updating our work studies,Timing,Dedication,Embryology is My passion ...I do my best to Help infertile couple to have there own babies
"work overload, continuous weekend work",performing errors - with no active witness available or witnessing systems installed,Work overload (stress factor),Modern technology evolving so that it might not need a human in the lab any time soon,purchasing  top quality equipment and disposables (not using cheper versions or options),Employing sufficient staff,"Being an experienced embryologist practicing embryology as a locum in more than one clinic across SA, helping couples across our country to achieve pregnancies."
Acceptance amongst clinicians,Workload,Lack of quality professionals,Clinicians dominance,Proper staffing,Adequate resources,"To set up an IVF unit to provide ethical, transparent and affordable treatment."
Attaining clinician’s or Senior’s faith in performing individual cases,Obviously to get good results,A fresher to get job,Attaining clinician’s confidence on us to independly handle procedures,You should have faith in your employees,There should definitely be a team work,"To make people happy by contributing my efforts, hardwork and sincerity as an Embryologist "
"Managing surrounding atmosphere for VOC, ",Continuous availability on LN2,Convincing the clinicians,Dependency on clinician,More practice,Good training,To have more state of art ART Centers.
Role in combined decision making,Lack of infrastructure development,Hard to differentiate between qualified and under qualified,Slavery,Registration and licensing,Embryology profession should have acceptance as reproductive scientist,Improve knowledge by learning and sharing with the fellow embryologists and academically improve by higher education and continuous training
Sometimes not good work FLEXIPET holding that time hold Embryos,Sperm not found in azoospermia,Sterozoom microscope light not working,Problem found andometic et time,Not allow freelance up to two ivf centre,All academic fully trained all students with Icsi,Knowledgeable and good result Embyologist
In depth knowledge of underlying processes,Cost of upskilling,Access to education (cost and time),Scientific experience,Staffing levels and time management of this,Correct support structure,Dual research/management role
Troubleshooting in ICSI manupulator,Calibration,Lab cleaning,Quality assurance,Evidance based software,External QA and QC,Genomic research
Rule out stress,Good quality embryo,Stress,Embryos,Coordination,Team work,To become a international certified embryologist.
When the Centre have limited sources  to manage ART Cycles,When embryologist are blamed even after non-standard status of ART Centre,When credit is goes to clinicians and their relatives only,When not getting remuneration on time,All ART Centre should follow the common standard across the country,Minimum qualification level and Licensing of embryologist,Directorship of a reputed ART Centre
Senior not Helping or teaching,Growth takes time,No Guidance,No trust,Seniors having an open mind to teach,Helping each other,"To perform ICSI on a regular basis, learn more and more. Help the patients , in best way possible"
No leaves,More responsible for work,No proper channel for recognitions,Difficult to find proper University,To make peaceful environment,Not much work stress,To become a lab Director
Working hours,Result oriented pressure,Working hours,Result oriented pressure,Distributed work hours,Understanding embryo quality  cannot decide the biochemical outcome entirely.,To work as an Embryologist and progress towards a managerial position with the lab.
Quality Control and Quality Assurance,Combination of daily practical workflow and administrative work,Optimizing / Standardization/ of applied methods,Sensibilization / Training of new colleagues,More time for evaluation of labwork / to visit oher labs,More opportunity to co-operate in research projects,Rather changing the field to be more invilved in research in reproductive biology/medicine than escalating the career ladder.
Long working hours,Inadequate pay,Non-qualified persons practicing embryology,Freelance embryologists not taking responsibilities,Full time in house embryologists,Routine ivf to be practiced regularly,To create difference in the life of childless couples using technology and to make a social impact. Also being respected and noted as a medical professional cum embryologist...
?,?,?,?,?,?,?
combine maths with biology or the other way,dare to say no,technical facilities/equipment/square meters in relation to the work and the team,loyalty of coworkers,recognition of the profession and respect within clinical work,correct salary,Just what I do know
Clinician Dominance,Inadequate payment,Work dependency,Too much working time,Proper teamwork,Proper  payment structure,To become one of the best  Embryologist
Working for a very long time,Stress,Lack of recognition,Low salaries,Improve salaries,Hospitals should sponsor conferences,Teaching
Difficult cases of IVF/ICSI,"High number of cases, low number of staff",Expensive training,Lack of understanding from the top management,Flexible working hour,More number of staff according to cases,I would like to become scientific director and conduct more clinical research
BAD LAB CONDITIONS,WORK PLACE BLAME CULTURE,PROFESSIONAL DEVELOPMENT,EDUCATION DEVELOPMENT,MORE PERSONAL,CONTINUE EDUCATION,BE A BETTER EMBRYOLOGIST
Administrative duties,Low cost setting- so we work sparingly,Pressure from clinicians,Administrative duties,Better recognition,Management,Professorship along with a chief embryologist position.
schedule,finding work local to residence,work schedule,cooperation between clinical and lab teams,4- 10 hour work days,team meetings per week/month with each department,"I am at my goal after 23 years. I have managed and run labs, I am currently Senior Embryologist managing the Andro lab as well"
Success rate,High salary,New technologies,Success rate,New equipments,No involvement of the gynecologists in the laboratory work,N/A
loneliness,Not being able to consume water or food near the workplace,The pressure to get everything right even if the estimates are of low quality,Perform all techniques to perfection,Improve salary,"Regardless of the number of procedures, have at least 2 people in the laboratory",To be a partner and scientific director of an ART laboratory
Coordination with clinicians,Management support,Lack of educational facilities,Affordablility of training courses,Training and education,Standardization,To be a research oriented embryology trainer
Seniors do not support,Blame game,NA,NA,Seniors should support juniors,Embryologist should not blame for no embryo formation,To become a world renowned embryologist
Long working hours,Low salary,Caution,Thoroughness,Short working hours,Higher wage,Retired
Miscommunication with the general staff,They're mostly overworked.,Highly underpaid,Lack of awareness,Pay them well.,Give them professional independence,"To become stable and gain more knowledge in my field. To work with my morals, and carry out ethical practices."
Ethical dilemmas,Clinician dominance,Keeping uptodate with Technology advances,Clinician dominated,Freedom from clinician dominance,Online onjob training,Settled life
Lack of vision,Stress,Under payed,Over worked,Have occupational standards,Work ethics,Pursue a career in training and academia
Affordable pH testing of media,Measuring of accurate temperature within media,Long hours with little time off,No recognition by clinicians,More reasonable hours especially over weekends,Affordable but quality products for smaller labs,To stay on standard and above comparing to international labs
Increasing number of ICSI cases,Dr expectations and unlimited number of cases per day,cohesive rules in each country,expectations of working hours,legislative requirements to limit the number of cases per day outweighing the staffing numbers,legislative requirement for staffing numbers for patient numbers,Currently in training for laboratory director
Adapting to different techniques,Quality of eggs,Work on weekends,Not recognised,Adapt stimulation protocols to avoid weekend work,To not perform unnecessary procedures that do not contribute to the clinical outcome,To become a laboratory director and always improve on techniques
stress,workload,stress,salarys,better paid,more staff,"more research, assistant prof"
time management,work management,gaining trust,abcd,abcd,abcd,nothing
High clinical load,Training staff,Shortage of trained embryologists/recruitment,Work life balance,More realistic expections of OPUs per scientist,Reduce weekend work,Laboratory manager
paper trail/becoming paperless,efficiency,small space and high work load,communication with clinic,more space so not on top of each other,remove entering in triplicate,Lab director
hard to find vacation time,multitasking,lack of recognition,low pay,increase lab staff,more days off,"For now, to keep working in the lab.  Maybe eventually transition to industry."
Pt interactions staying brief,Staffing ratios,"too many programs ""qualifying/training"" embryologists and putting them into the market with poor skill levels",being asked to split time between emb/and labs,lab offices inside the lab,take phones out of the lab,Lab Director
Work-life balance,Physicians not respecting embryology,Work life balance,Respect from clinical staff,Increase staff to reduce workload,Require REI to spend more time in lab before practicing,To help infertile patients
Patient dissatisfaction,Communication errors,Lack of recognition,Long work hours,Better communication with clinical staff,More PTO accrual,To continue to grow and learn as much as possible to ultimately become a Sr. Embryologist
Communication with clinical professionals,Funds for Lab improvement,Work load management,Improvement tactics for Oocytes and sperm quality prior to ivf cycle,Better salaries structure,Communication among staff,"To earn. PhD degree in reproductive sciences, yo achieve HCLD "
Balancing home and work life,Not properly compensated,Balancing home and work life,Certifications and higher education is difficult to obtain,40 hour work weeks,rotating weekend shifts other than every other weekend,To become the technical supervisor in my laboratory.
Stress,Overworked,Need standardized certification,Sharing of techniques,"Increased staffing, reduced workload",Reduce RSIs,"Continue to improve the culture at my clinic, possibly get into regulatory work"
Getting the admins to understand the needed time commitment,Staffing / Work Load,Lack of trained people,Work Load,Hire more people,Time off compensation,Embryology Director
Result,Mental stress due to Overload work with no vacation,Automation of the ivf lab procedure,Specialized Education,Paid Emotional  and mental support,Paid continues education,Own ivf lab for helping poor and research
gleichbleibend gute Ergebnisse erzielen,den immer höher werdenden Ansprüchen der Pat. gerecht werden,Anspruchshaltung der Patienten,Zeitmanagment,Kommunikationsverbesserung,gute Aufklärung durch Ärzte,habe mein Karriereziel erreicht
Timing,Responsibility,Results,Satisfaction,Time management,Kpi,Successful n satisfied
Respect,Limited recources,Lack of acknowledgement and respect,No fixed salary scale in place,Available recources,Input in more acceptable working hours,Improve practical skills
Respect from clinicians,Limited recources,Lack of acknowledgement and respect,Poor remuneration,Available recources,Input in more acceptable working hours,To be a good embryologist
Lack of recognition from legal bodies and doctors,"The trend of employing more technicians, because embryologists are too expensive",Lack of recognition from legal bodies,Poor salary when clinic belongs to a medical chain,Legal recognition,More time for statistics,Own my own IVF clinic
Salary,Recognition,Placement,Salary,Good training,Provide good instruments,Good pregnancy rte
manage administrative personal,dealing with too much work when having not many embryologists,being recognized by physicians (in matters of time and work),to stablish standard protocols,give real importance for the embryologists work,consider that for good results is important to invest money eventually in having better equipment,to get a specialization in genetics aplied to IVF
Over worked,Poor work-life balance,Not enough staff,Teaching of reproductive physiology is not happening. Just memorize protocols,ASRM needs to help establish firm caseloads for staff.,Better training facilities.,I have been doing this since 1985. I just want to be able to retire and not die at my desk
agreement on embryo assessment,lack understanding of embryology and IVF lab from the clinitians,lack of accreditation,lack of recognition,recognition as a specific profession/specialization,need of a recognized degree to exert the profession,"no particular one, lab director certainly will arrive is I stay on-site and perform well"
Responsibility of ensuring patients with cryopreserved samples honour the payment of their annual renewal storage charges/fees.,Undue long working,Ethical concerns,Lack of regulations,Embryologists must agree to have a flexible work schedule especially on days when there are no IVF cases,Risk allowances must be included into overall salary structure of the embryologist,I am aiming to become a consultant embryologist
Quick working on suitable heated spaces,keeping stable conditions for all cells,highly responsible working habbits,"close co-operation with lab members, doctors but also patients",good team with enough members to compensate,up to date equipment + training,"Getting the title reproduction biologist, and staying up to date with trainings and workshops"
Stress,Uncooperative managers,Ethics,Environment,Flexible schedules,Specific tasks,Being active in the research field
Success rate,Patient expectation,kpi,bench mark,"Day off, Holiday,....","Equipment, environment, chef and staffs",Work life balanced. Not too much stress and flexible
Distractions from lab work during the work day e.g. logisitical,Amount of flexibility required and cost to personal life/family life,Amount of flexibility required and cost to personal life/family life,Lack of professional development,Where possible more regularity in operational hours,More professional development and real opportunities to progress within the laboratory,"Unsure. I recently stepped down from a Laboratory Manager position as it was not compatible with having a young family. Also I found aside from the expected HR, which was a high workload due to COVID, that a lot of my higher tasks were much more administrative than scientific.   I would like to remain in science and will currently remain in Embryology as it is relatively easy to work part time. I see myself moving into another science field in 2-3 years time in order to progress my career."
The pressure from clinical physician.,The mass of work every day.,Developing both sides: working in the laboratory and keeping research every day.,The low salary.,Do not make pressure on embryologists.,The mass of work must be balanced with the number of embryologists.,Become a senior researcher.
Burnout,Lack of progression,Burnout,Lack of recognition,More staff,Better training,Not  be applicable
Lack of full technology,Shortage of time,Too many providers,Freelancing,Full time fully qualified and trained embrylogists,Focussed jobs,To be the best in my region and have the highest pregnancy and live birth rates.  To incorporate the latest equipment and technology.
relationship with clinical staff - recognition as a professional,low salaries for high workload,not always regarded as a legitamate profession,workload and salary stucture,inclusion in decission making with clinicians,salaries fitting the working hours,now retired - but was to educate and train the new group of embryologists following the my footsteps
workload,embryo handling,no general degree in ART available,low salaries for important work,more specialized study fields available,salaries should be similar to doctors,"Get all certificates in embryology, aquire knowledge and specialized techniques (eg biopsy) "
.,.,.,.,.,.,.
"Funding for equipment, better and best","Work load, emotional patients",Own ethical opinion,Not seen as the major role player in ivf.,To be recognized for expert skills,to have patient consultant apart from doctor and nurse,To have my own ivf lab
Long time training due to less samples for trainning,Less communication between laboratory team and medical team,Complex tasks perform under pressure,Patients with High expectations,Modern Technology for embryologist,Appropriate pay per complex work,Be an ESHRE-certified embryologist.
time management,mental and physical exhaustion,.,.,more days off,time for sun and fresh air,senior embryologist
Embryologists tend to have very little say in the operation of  labs- the clinicians decide,"In general Embryologists get very little chance to attend international meetings, .",Misinformation and lack of knowledge- patient complexity,Workload and stressors,More support to overcome stressors,Embryologists should have more say in the operation of laboratories.,Too be the best Embryologist possible. To serve patients to the optimum
High Fertilization rate,High blastocyst rate,High Implantation rate,Healthy babies,"Education, training, meeting, Seminar","Workload, number of patients/ day ",Professional  embryologist
personal skills,responsibility,discussing to improve result with clinician dominant,international network,lab practice as much as you can,personal review,well known embryologist in worldwide with embryology skills
Following the protocol strictly,Concern any conditions that might effect to result,Opportunity to get trained,Lifelong learning,Have a training plan for new staff,Working role,Director of ART clinic
SENIORS BEHAVIOUR OF NOT TEACHING,ENCOURAGE TO LEARN,SENIORS IN PROFESSION DOES NOT ENCOURAGE,PLEASE DO ENCORAGE,PLEASE MAINTAIN STANDARDS OF POST GRADUATES TO PERFORM ICSI,ALLOW NEW PEOPLE WITH QUALIFICATION TO LEARN,TO BECOME A GOOD EMBRYOLOGIST
The instrument not okay.,A doctor does not have a reason,Sometime over pounding,Selfish,Directly with a reasonable,Focus for work,"Happy, healthy mind  "
sufficient and appropriate staff levels,occupational health (eg repetitive strain issues),realistic expectations of working capacity,expectation of availability (eg after hours requirements),recognition and regulation of staff to workload ratio (similar to nursing ratios),technology for automating media set up (eg Eppendorf media plate out machines configurable for IVF purposes),maintain interest in IVF developments
fear of accidents (dropping dishes etc),poor outcomes/phone calls,poor pay,stress,ergonomic workspaces,more pay for very stressful/physically demanding job,happy at the moment as is
"Equipment decisions, cost, maintenance ",Focus,Finding qualified staff,Liabilities,Rotating schedules,Adequate staffing,Retirement
Long work hours,Lots of weekend work if working in a small clinic,Too little pay,No room for career growth,Implement height adjustment chairs,Standardised working hours,IVF Lab director
high responsibility/pressure,low pay,high responsibility/pressure,low pay,higher pay,recognition of responsibility,?
Insufficient number of staff to perform all required work,Working relationships with clinicians,lack of regulations and laws nationally and internationally,Little potential for higher positions,Training of more embryologists,More recognition and acknowledgment of the field,My career goal is to have my own embryology laboratory
work hours,limited decision making opportunities,salary,Unable to own a lab/clinic,Better salary,More recognition and decision making opportunities,to be a renowned/skilled embryologist/ researcher
competency tracking from  unit directors/Doctors,overtime/work,success/ good blasturation rate,pregnacy rate from embryo transfers,good relationship with clinical directors/Doctors,Quality Assessment interaction with other ivf laboratories,To be the best and expect in work field/careeer
Little free time (long work days/weekends),Being disregarded by clinicians,Not enough respect for the profession by others in the field,Difficulty to immigrate and still practice as an embryologist,Formalizing of the training/accreditation of embryologists,Demand for higher wages will demand respect,Researcher
Stress,Work life balance,Not well represented by unions etc,Stress,More staff for better work life balance,-,Continue development and knowledge progression to become a well-rounded embryologist
attention to detail,demanding patients,working with doctors,coping with anxiety,education on coping with anxiety,structured salary levels and career pathways,to help patients achieve their goals safely  to train and develop young scientists
Work/ life balance,Work load,Work/ life balance,Work load,More experienced staff,Less work load,Bench work in the lab
Career development,Low salary,Too much ethics involved,Stress,Reduce the workload,Give more administration help,To reach up to management level.
LACK OF CAREER DEVELOPMENT,TOO HIGHLY SPECIFIED SO DIFFICULT TO CANGE CAREER ONCE IN IT,THEY ARE UNDERRATED IN THE MDT,TERRIBLE,OPTIMAL LAB CONDITIONS TO WORK IN QUALITY EQUIPMENT,AUTONOMY,IMPROVEMENT OF SKILLS AND KNOWLEDGE TO DELIVER BEST EVIDENCE CARE. A CAREER FRAMEWORK TO CLIMB. NOON WANTS TO STAY IN THE SAME SPOT FOR THE ENTIRITY OF THEIR CAREER
Many embryologists work under pressure and long hours causing exhaustion,Responsibity of patients gametes and embryos,Low income pay,Embryology is an unrecognised profession,Employ more embryologists to decrease the workload,Effective lab setup to ensure that the embryologists is comfortable when working in the lab,I am currently a student/ intern in training aspiring to become a successful embryologist. Once I have obtained my certificate I would like to broaden my knowledge in the field and one day conduct research in reproductive biology
there might be too few embryologists working in a lab,there might be miscommunication between the lab and clinic,embryologists are underpaid,embryologist are at risk of burn out,improve on communication between clinic and laboratory,"ensure, to the best of ones ability, to avoid weekend work",career goal would be to one day run my own clinic
Salary,Recognition,Salary,Recognition of embryology profession,Have a course that teached clinical embryology where we dont have scientists and clinical technologists,Allowing of embryologists to be entrepreneurs and have better salaries,To own my own clinic
Few embryologist for required work load,disrespect by clinicians,Low income,Undermined by department of health,Improve income,hire more people of colour,To become an Embryology lab director with multiple streams of income
Lack of professional recognition in the clinical space,Quackery resulting from too much locum services,Standardized and affordable educational training,Career structure not available on a national template,Standardized remuneration package along with recognize structure,"Encourage more embryologist into post graduate programs (MSC, PhD","Bag a PhD in reproductive science, engage in clinical research and provide enabled mentorship to young embryologist through tutoring"
Ethical and emotional stress,Ergonomic discomfort,Ethical stress,Burn out,Workers ethical right should be balanced against patients right  to treatment,Well designed work places,To maintain high working standards and limit risks/errors in the lab
Life-work balance,Resilience,Recognition as a speciality,Commensurate salary,Participation in the clinic's senior management team,"New technology, eg. time lapse",I'm close to retirement after 40 years in IVF
Time management,Workload and staffing management,Recognition,Career progression,Adequate staffing levels,Ongoing education opportunities,Scientific Director
Lack of respect from Doctors,"Stress, anxiety and guilt",Under-payed,Mental health,More regular salary reviews,Mental health workshops on how to deal with pressure,To own my own clinic
n,n,n,n,n,n,n
Work/ life balance,Less Opportunity if many inhouse Embryologist,Missing family time,Stressed out to keep up the good work,Opportunity to all,Time management to job and life balance,Phd in ART related subject
Work load,Poor conditions,Work load,Poor conditions,More staff,Established career paths with salary guides,N/a
Workload,Work life balamce,Skilled staffing,Ongoing cpd,More trained staff,Admin staff to assist,Don’t have one
"high risk, low financial reward",lack of respect from medical staff,expensive to study MCE,high stress,more clinics- especially in NZ,lower case numbers/ more staff,senior embryologist or retrain
Case load,Stress,Caseload to embryologist ratio,Working outside normal hours,Staff ratio improved,Drs availability,Maintain position
workload,always mistaken for nurses,gender equity in employment,automation,minimum staffing levels per cycle,life is pretty good otherwise,to retire
career progression,workload juggle,recognition,access to practical ongoing education,management cooperation,building a team where everyone is recognised and valued,complete my work to the best of my ability
Overly restrictive legislation,Low salaries,as above,as above,education of legislative bodies,pay in relation to the work put in,to be respected at the top of my field
Patient and medical interaction,Conflict with SOP's and treatment,Certification/licensing,Professional development,Be more Pro-active in profession,Participation in CPD,Continue to operate as a proficient embryologist using the best protocols with the best equipment available
Staff shortages,Increased workload,Clear career progression,Staff shortages,An ART scientist specific union,Staff to volume ratios implemented,"Business owner, maintain Scientific Directorship."
Lack of career progression,Lack of support for education - conference attendance,Qualification means more than experience,Lack of sharing knowledge,"More staff, less weekends",Actual break times,"Diversify my knowledge of the lab, up-skilling in other areas eg QC, donor, taking on higher responsibilities"
Workload,Paperwork,Salary,Career advancement,Doctors working hours,Case load reduction,To be lab manager
Salary restrictions,Career progression,Recognition of efforts,Sufficient training,Clearer paths for career progression,Structured training programs for consistency between clinics,Senior embryologist
overwork,risk,overwork,risk,better staffing models,more quality management oversight,Retire
external support - new practices,salary,NATA andrology accreditation requirement,salary,increase base salary,online learning/access to journal articles for members of societies,achieved
burn out,scheduling,regulations by governments that don't understand what we do,keeping up to date with technology,not sure,not sure,I have reached senior level so my goal is to continue in a job I love until retirement
traceability,monitoring of all parameters in the lab,avoid mismatch,troubleshooting,let everybody able to do any  kind of lab procedure,keeping a peacefull enviroment,I'm ok
not doing any technical error ever,taking the good decision,quality managment,always improving the results,more staff,more technological help,to continu to learn
workload,country law,worload,training,more embryologisyt,more space for training,the remain lab manager
Secure work with human cells,Patient communication,Secure work with human cells,ethic questions,payment,responsibility,"I achived my goal (head of lab), maybe an own clinic"
coordination,quality management,Timings,Holidays,Have more seniors to perform all the procedures to ensure equal work distribution,more understanding between the clinician and the lab people,To complete PHD and further excel in the field
"searching for the ""right"" embryo",combining daily work with scientific claims,combining daily work with scientific claims,quality management embedded in daily work,better networking with medical team,better time management,leader of IVF-Lab
Occasional fragmentation in embryos,Equipment failure,Negative results falls on embryology lab,"Poor embryo quality is only responsibility of embryologist, not gamete or sperm factor",Clinicians support and failth,Appropriate remuneration to dedication given.,ESHRE CERTIFICATION AND ENTER INTO RESEARCH FIELD
Personal responsibility for fails,Workload,Ethical issues,Weekend and holidays work,Higher salary,More stuff in the lab,Leading lab emryologist
Convince to doctors,No,Some persons who had no official degree and they are doing practices,No,No,No,P.hD
Special employee in Medical College,Cant involve in academics as a non-medico,Employee class/level to be defined,Junior to Senior to be defined by a regulated authority,"Gazette and Registration Number with qualification, experience and testing methods",Responsibility of work and Security of embryologist,To be involved Clinical and development biology Research work in different labs with many researchers and juniors
Competition,Ivf doctors,Training,Competition,Don't,Know,LAb director
Knowledge updation,Clinician domination,Ethical practices,Clinician domination,Periodic training,Less work load,Professional excellence
